EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,12,242,21500332,,,12:00,3,0,0,0,0,,,,,,0,,,,,,0,,,,,,39 - 46,7,,11:58 PM
79,1,243,21500332,Gay 8' Pullup Jump Shot (4 PTS),,11:45,3,4,0,0,200752,Rudy Gay,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,39 - 48,9,,11:59 PM
67,1,244,21500332,,,11:29,3,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,41 - 48,7,Porzingis 5' Hook Bank Shot (5 PTS),11:59 PM
2,6,245,21500332,,,11:14,3,5,4,1,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,0,,,,,,,,Porzingis S.FOUL (P2.T1) (B.Forte),11:59 PM
11,3,246,21500332,Casspi Free Throw 1 of 2 (7 PTS),,11:14,3,4,0,0,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,41 - 49,8,,11:59 PM
12,3,248,21500332,MISS Casspi Free Throw 2 of 2,,11:14,3,4,0,0,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,12:00 AM
0,4,250,21500332,Casspi REBOUND (Off:1 Def:5),,11:13,3,4,0,0,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,12:00 AM
1,2,251,21500332,MISS Casspi 25' 3PT Jump Shot,,11:08,3,4,0,0,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,12:00 AM
0,4,252,21500332,,,11:07,3,5,0,0,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Anthony REBOUND (Off:3 Def:6),12:00 AM
1,2,253,21500332,,,10:55,3,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Porzingis 9' Jump Shot,12:00 AM
0,4,255,21500332,,,10:54,3,5,0,0,201577,Robin Lopez,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Lopez REBOUND (Off:2 Def:4),12:00 AM
97,2,254,21500332,,,10:54,3,5,0,0,201577,Robin Lopez,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Lopez 5' Tip Layup Shot,12:00 AM
0,4,256,21500332,Casspi REBOUND (Off:1 Def:6),,10:53,3,4,0,0,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,12:00 AM
42,2,257,21500332,MISS Casspi 4' Driving Layup,,10:42,3,4,0,0,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,12:00 AM
0,4,259,21500332,Gay REBOUND (Off:1 Def:3),,10:40,3,4,0,0,200752,Rudy Gay,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,12:00 AM
97,2,258,21500332,MISS Gay 2' Tip Layup Shot,,10:40,3,4,0,0,200752,Rudy Gay,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,12:00 AM
0,4,260,21500332,,,10:39,3,5,0,0,201577,Robin Lopez,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Lopez REBOUND (Off:2 Def:5),12:00 AM
40,5,261,21500332,,,10:23,3,5,0,0,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Anthony Out of Bounds Lost Ball Turnover (P2.T13),12:01 AM
1,6,262,21500332,,,10:10,3,5,4,1,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,,,Anthony P.FOUL (P2.T2) (S.Twardoski),12:01 AM
11,6,263,21500332,,,10:10,3,7,0,1,204006,,,,,,0,,,,,,0,,,,,,,,,12:01 AM
16,3,264,21500332,Gay Free Throw Technical (5 PTS),,10:10,3,4,0,0,200752,Rudy Gay,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,41 - 50,9,,12:02 AM
42,2,266,21500332,MISS Cousins 5' Driving Layup,,10:02,3,4,0,0,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,12:02 AM
0,4,267,21500332,,,10:02,3,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Porzingis REBOUND (Off:0 Def:5),12:02 AM
2,6,268,21500332,Rondo S.FOUL (P2.T1) (B.Forte),,9:57,3,4,5,1,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,201577,Robin Lopez,NYK,New York,1610612752,Knicks,0,,,,,,,,,12:02 AM
11,3,269,21500332,,,9:57,3,5,0,0,201577,Robin Lopez,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,42 - 50,8,Lopez Free Throw 1 of 2 (5 PTS),12:02 AM
12,3,271,21500332,,,9:57,3,5,0,0,201577,Robin Lopez,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,43 - 50,7,Lopez Free Throw 2 of 2 (6 PTS),12:03 AM
