EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
7,1,260,21500284,,,10:55,3,5,0,0,203458,Alex Len,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,62 - 53,-9,Len  Dunk (6 PTS),8:21 PM
40,5,261,21500284,Porter Jr. Out of Bounds Lost Ball Turnover (P3.T10),,10:45,3,4,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:22 PM
1,2,262,21500284,,,10:23,3,5,0,0,202339,Eric Bledsoe,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Bledsoe 15' Jump Shot,8:22 PM
0,4,263,21500284,Hollins REBOUND (Off:1 Def:2),,10:22,3,4,0,0,200797,Ryan Hollins,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:22 PM
40,5,265,21500284,Hollins Out of Bounds Lost Ball Turnover (P1.T11),,10:11,3,4,0,0,200797,Ryan Hollins,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:22 PM
1,2,266,21500284,,,10:03,3,5,0,0,202339,Eric Bledsoe,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Bledsoe 16' Jump Shot,8:22 PM
0,4,267,21500284,,,10:02,3,5,0,0,203458,Alex Len,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,Len REBOUND (Off:2 Def:1),8:22 PM
5,2,268,21500284,,,10:01,3,5,0,0,203458,Alex Len,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Len 2' Layup,8:23 PM
0,4,269,21500284,WIZARDS Rebound,,10:01,3,2,0,0,1610612764,,,,,,0,,,,,,0,,,,,,,,,8:23 PM
1,2,270,21500284,MISS Beal 26' 3PT Jump Shot,,9:52,3,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:23 PM
0,4,271,21500284,Hollins REBOUND (Off:2 Def:2),,9:50,3,4,0,0,200797,Ryan Hollins,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:23 PM
1,2,272,21500284,MISS Temple 25' 3PT Jump Shot,,9:28,3,4,0,0,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:23 PM
0,4,273,21500284,Beal REBOUND (Off:2 Def:3),,9:27,3,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:23 PM
4,5,274,21500284,Porter Jr. Traveling Turnover (P4.T12),,9:17,3,4,0,1,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:23 PM
4,6,275,21500284,,,9:04,3,5,4,1,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,0,,,,,,,,Tucker OFF.Foul (P3) (N.Buchert),8:24 PM
5,5,276,21500284,,,9:04,3,5,0,1,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,Tucker Foul Turnover (P2.T12),8:24 PM
1,2,277,21500284,MISS Wall 17' Jump Shot,,8:52,3,4,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:24 PM
0,4,278,21500284,Porter Jr. REBOUND (Off:4 Def:1),,8:50,3,4,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:24 PM
1,1,279,21500284,Beal 18' Jump Shot (12 PTS),,8:44,3,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,62 - 55,-7,,8:24 PM
1,9,280,21500284,,,8:44,3,3,0,0,1610612756,,,,,,0,,,,,,0,,,,,,,,Suns Timeout: Regular (Reg.3 Short 1),8:24 PM
1,2,284,21500284,,,8:31,3,5,0,0,202339,Eric Bledsoe,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Bledsoe 17' Jump Shot,8:27 PM
